labels,source,path
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a01.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a02.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a03.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a04.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a05.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a06.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a07.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a08.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a09.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a10.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a11.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a12.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a13.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a14.wav
angry,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_a15.wav
happy,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h01.wav
happy,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h02.wav
happy,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h03.wav
happy,SAVEE,../../../assets/audio_sentiment_data_v2/datasets/surrey-audiovisual-expressed-emotion-savee/ALL/DC_h04.wav
